masked_id,Date,Des1,Des2,Des3
1,11022016,CIVSALES_RISK_SCREENING,IRA Transfer,Returned Item Adjustment
1,11082016,Advance,Customer Time Out,POS Merchandise Reversal
1,11082016,CIVSALES_NEW_CUSTOMER­_PROFILE,Interest,REPORT_SUGGESTION
1,11092016,CIVSALES_CIP_VALIDATION,Funds Transfer Maintained,REPORT_PASSWORD_OPTIONS
1,11112016,ATM Failure,CUSTOMER_EVENT_HISTORY,Purchase Cash Instrument
1,11112016,CIVSALES_RISK_SCREENING,IRA Transfer,Returned Item Adjustment
1,11152016,Credit Adjustment,ODP Maintenance,STATE_RESTRICTION
1,11152016,Business Credit Only flow selection,Documents hyperlink accessed,REPORT FREQUENCY STATISTICS
1,11232016,Consumer Recommendations Create MSR,NEW_ACCT_FUNDING_INFO,Settlements
1,11232016,UpdateMSR,Wire Transfer Inquiry,Transfer Reversal
1,11242016,Account Closed,Customer Combine,OVERDRAFT_SERVICE_CHARGES
1,11242016,Consumer Deposit and Credit flow selected,New Customer Profile,Service Open - Home Equity Access Card
1,11292016,Business Credit Only flow selection,Documents hyperlink accessed,REPORT FREQUENCY STATISTICS
1,11302016,CORRESPONDENCE,NEW_EXPRESS_SEND_AGREEMENT,Specific document image accessed
1,12012016,College Information Maintenance,Memo,SELL_CREDIT
1,12012016,Verify WFB Funds,Withdrawal Reversal,TRAVEL PLAN MAINTENANCE
1,12022016,CIVSALES_CUST_NEEDS_ASSESSMENT,Hold,REPORT_SESSION_END
1,12042016,ATM/DEBIT PIN CARD,Customized Sumry via Online,QUALIFY_FOR_DEP_EDIT_ADDR_ID
1,12052016,Account Closed,Customer Combine,OVERDRAFT_SERVICE_CHARGES
1,12062016,Bill Payment Reversal,Direct Deposit Advance Repayment,RENEW_TIME_ACCOUNT
1,12062016,Customer Address Change,Overdraft Protection Transfer Reversal,Transfer of Debit
1,12112016,Credit Offer at ATM,ONLINE SERVICE ,Stop Payment Delete
1,12172016,CORRESPONDENCE,NEW_EXPRESS_SEND_AGREEMENT,Specific document image accessed
1,12172016,College Information Maintenance,Memo,SELL_CREDIT
1,12172016,CIVSALES_CUST_PROFILE_EDITS,HOME EQUITY OFFER STATS,REPORT_SESSION_START
1,12182016,College Information Maintenance,Memo,SELL_CREDIT
1,12182016,CIVSALES_ONLINE_BANKING_BILL_PAY,Internal debit reversal,REPORT_WAY2SAVE
1,12182016,Consumer Deposit Only flow selected,New Deposit Account Open funded via DDA to DDA Transfer,Service Open - Safe Deposit
1,12232016,Consumer Deposit Only flow selected,New Deposit Account Open funded via DDA to DDA Transfer,Service Open - Safe Deposit
1,12272016,Close,LOST/STOLEN/FRAUD,SALES_SUPERVISOR_APPROVAL_OUTCOME
1,12272016,Advance Reversal,Customer to Customer Relationship Maintained,POS Preauthorization
1,12292016,Close,LOST/STOLEN/FRAUD,SALES_SUPERVISOR_APPROVAL_OUTCOME
2,07032016,CIVSALES_NEW_CUSTOMER­_PROFILE,Interest,REPORT_SUGGESTION
2,07072016,Bill Payment Miscellaneous,Direct Deposit,Referral to Wells Fargo at Work partner
2,07072016,Check,EXPRESSSEND_FIRST_TRANSFER,REPORT_CTI_POP
2,07102016,ACCOUNT HISTORY COPY REQUEST,Customer Email Change,PACKAGE_MAINT
2,07142016,Advance Reversal,Customer to Customer Relationship Maintained,POS Preauthorization
2,07142016,Verify Non-WFB Funds,Withdrawal,TRAVEL PLAN INQUIRY
2,07212016,Credit Offer at ATM,ONLINE SERVICE ,Stop Payment Delete
2,07212016,Cash Non-WFB Check,Express 10 statement,REPORT_BCA_APPS_LOG
2,07222016,CIVSALES_PMA_ADD/REMOVE_OWNERS,IRA REPORTING,Returned Deposited Item
2,07222016,Consumer Recommendations Create MSR,NEW_ACCT_FUNDING_INFO,Settlements
2,07232016,CUAC Maintenance,Overdraft Protection Transfer,Transfer
2,07242016,Authorized Credit,Debit Reversal,Referral
2,07252016,Cancelled,EMAIL MAINTENANCE,REPORT_ACCOUNTCONVERSION
2,07252016,CIVSALES_CUSTOMER_SESSION,Incompleted Transaction - Cust Init,REPORT_STOP_PAYMENT
2,07262016,Bank Product Purchase,Deposit Advance Reversal,Referral to Merchant Services partner
2,07272016,CreateMSR,ODP DETAIL,Stamps Reversal
2,07272016,Authorized Credit,Debit Reversal,Referral
2,07272016,Account Hold Add,Customer Interaction fields entered on profile,Payment
2,07302016,AUTHENTICATION_TRACKER_ON_OFF,Debit Adjustment,RECORDED AND PLANNED EVENTS STATS
2,07302016,CORRESPONDENCE,NEW_EXPRESS_SEND_AGREEMENT,Specific document image accessed
2,07312016,Authorized Credit,Debit Reversal,Referral
2,07312016,Business - Deposit - RETA flow  selected,Dividend,REPLACE CREDIT CARD (Lost Stolen or Damaged)
2,07312016,ADDRESS CHANGE,Customer Snapshot Inquiry,POS Merchandise Credit Reversal
2,07312016,CUAC Maintenance,Overdraft Protection Transfer,Transfer
2,08022016,Business  Deposit Only – Special Relationship flow,EFORM ACCESS,REPORT_ACCOUNT_CLOSE
2,08042016,CORRESPONDENCE,NEW_EXPRESS_SEND_AGREEMENT,Specific document image accessed
2,08072016,Bill Payment Reject,Direct Deposit Advance,REIMBURSEMENTS
2,08092016,Wire Transfer Create,Wire Transfer Create,Wire Transfer Create
2,08112016,Cancelled,EMAIL MAINTENANCE,REPORT_ACCOUNTCONVERSION
2,08122016,College Information Maintenance,Memo,SELL_CREDIT
2,08122016,CONTACT_EVENT_CREATED,NEW_ACCT_OPEN,SOFTPHONE_EVENT
2,08142016,Bank-initiated transfer,DIR_DEP_ADVANCE,Referral to Wealth Brokerage and Retirement partner
2,08142016,CIVSALES_PMA_ADD/REMOVE_OWNERS,IRA REPORTING,Returned Deposited Item
2,08152016,Consumer Establish/Maintain Remittance Agreement,New Deposit Account Open funded via Debit/Credit Card,Service Setup Direct Deposit
2,08192016,Credit Reversal,ORDER NEW HEAC CARD,Tax
2,08212016,Business Credit Only flow selection,Documents hyperlink accessed,REPORT FREQUENCY STATISTICS
2,08212016,Account Hold Remove,Customer Maintenance - Process Beneficiary Services,PAYOFF PAYDOWN
2,08222016,Balance Inquiry,Deposit,Referral to Business Insurance partner
2,08252016,Bank-initiated transfer,DIR_DEP_ADVANCE,Referral to Wealth Brokerage and Retirement partner
2,08262016,CIVSALES_CUST_PROFILE_EDITS,HOME EQUITY OFFER STATS,REPORT_SESSION_START
2,08282016,Cash Check on Credit Card/LOC,Enroll Online Wires,REPORT_AUTHENTICATION_TRACKER_DATA
2,08282016,Consumer Recommendations Create MSR,NEW_ACCT_FUNDING_INFO,Settlements
2,08312016,Cash Check on Credit Card/LOC,Enroll Online Wires,REPORT_AUTHENTICATION_TRACKER_DATA
2,08312016,CIVSALES_CARDS (PI),Funds Transfer Deleted,REPORT_MORE_HISTORY
2,09052016,CIVSALES_CREDIT_OPTION_GUIDE,Global Remittance,REPORT_SALES_TRACKING
2,09052016,CIVSALES_PMA_ADD/REMOVE_OWNERS,IRA REPORTING,Returned Deposited Item
2,09052016,CIVSALES_PMA_ADD/REMOVE_OWNERS,IRA REPORTING,Returned Deposited Item
2,09132016,CIVSALES_REPORT_REASON_FOR_CALL,IRA SERVICING,Returned Item
2,09132016,CIVSALES_PMA_ADD/REMOVE_OWNERS,IRA REPORTING,Returned Deposited Item
2,09132016,Wire Transfer Create,Wire Transfer Create,Wire Transfer Create
2,09162016,Cash WFB Check-OWNER,Express No Balance,REPORT_CARD_CLAIMS
2,09162016,AUTHENTICATION_TRACKER_ON_OFF,Debit Adjustment,RECORDED AND PLANNED EVENTS STATS
2,09182016,Book Transfer Create,Direct Deposit Advance Reversal,Reopen
2,09202016,Authorized Debit,DEP_PRODUCTS_AND_RATES,Referral to Business Banking Group (BBG) partner
2,09212016,CIV_SPECIAL_RATES,Funds Transfer Create,REPORT_IBK_STATS
2,09212016,Common Customer Event History tool Account Level,Merchant Card,Service Add Maintain Auto Pay
2,09232016,Check Card Credit,Fee Decision Tool Approval Queue,REPORT_CTI_REGISTER
2,09232016,UpdateMSR,Wire Transfer Inquiry,Transfer Reversal
2,09292016,Authorized Debit,DEP_PRODUCTS_AND_RATES,Referral to Business Banking Group (BBG) partner
2,10022016,CIVSALES_CIP_VALIDATION,Funds Transfer Maintained,REPORT_PASSWORD_OPTIONS
2,10032016,Book Transfer Create,Direct Deposit Advance Reversal,Reopen
2,10032016,Close,LOST/STOLEN/FRAUD,SALES_SUPERVISOR_APPROVAL_OUTCOME
2,10042016,CreateMSR,ODP DETAIL,Stamps Reversal
2,10042016,CIVSALES_CUST_PROFILE_EDITS,HOME EQUITY OFFER STATS,REPORT_SESSION_START
2,10052016,Account Hold Add,Customer Interaction fields entered on profile,Payment
2,10102016,CLAIMS_PROCESSING,Log On,Risk Screen Failure
2,10102016,Business Deposit – IOLTA flow selection,Download,REPORT LOGIN STATISTICS
2,10142016,Common Customer Event History tool Account Level,Merchant Card,Service Add Maintain Auto Pay
2,10192016,Cancelled,EMAIL MAINTENANCE,REPORT_ACCOUNTCONVERSION
2,10192016,Competitor Accounts Inquiry,Misc Fee,Service Enroll Online Banking
2,10212016,Agent Call,Customer WIP Inquiry,POS Preauthorization Reversal
2,10212016,Advance,Customer Time Out,POS Merchandise Reversal
2,10262016,Verify Non-WFB Funds,Withdrawal,TRAVEL PLAN INQUIRY
2,10262016,CreateMSR,ODP DETAIL,Stamps Reversal
2,10282016,CIVSALES_NEW_PMA,Interest Adjustment,REPORT_TELEPHONE_TRANSFER
2,10282016,CIVSALES_CUSTOMER_OFFERS,HOME_EQUITY_CAMPAIGN_STATISTICS,REPORT_SSN_LOOKUP
2,11042016,Account Closed,Customer Combine,OVERDRAFT_SERVICE_CHARGES
2,11042016,Verify Non-WFB Funds,Withdrawal,TRAVEL PLAN INQUIRY
2,11042016,Complete Contact Event,Miscellaneous,Service Enroll Remittance Agreement
2,11042016,CIVSALES_NEW_PMA,Interest Adjustment,REPORT_TELEPHONE_TRANSFER
2,11052016,Cash Check on Credit Card/LOC,Enroll Online Wires,REPORT_AUTHENTICATION_TRACKER_DATA
2,11052016,UpdateMSR,Wire Transfer Inquiry,Transfer Reversal
2,11052016,Advance Reversal,Customer to Customer Relationship Maintained,POS Preauthorization
2,11072016,Balance Inquiry,Deposit,Referral to Business Insurance partner
2,11082016,CIVSALES_REPORT_REASON_FOR_CALL,IRA SERVICING,Returned Item
2,11162016,Credit Reversal,ORDER NEW HEAC CARD,Tax
2,11162016,CIVSALES_CIP_VALIDATION,Funds Transfer Maintained,REPORT_PASSWORD_OPTIONS
2,11202016,Close,LOST/STOLEN/FRAUD,SALES_SUPERVISOR_APPROVAL_OUTCOME
2,11292016,CNA Updated,Make An Appt,Securities Transaction
2,11292016,CUAC Maintenance,Overdraft Protection Transfer,Transfer
2,12042016,Account Hold Add,Customer Interaction fields entered on profile,Payment
2,12042016,Add Contact Event,Customer Privacy Preferences Maintenance,POS Internal Debit
2,12052016,ACH Prenote,Customer Name Change,PMA_MAINTENANCE
2,12142016,CIVSALES_PARTNER_REFERRAL_CREATED,IRA Contribution,REPORTS_CTI_REGISTER
2,12142016,Bill Payment Reject,Direct Deposit Advance,REIMBURSEMENTS
2,12162016,Authorized Credit,Debit Reversal,Referral
2,12202016,Agent Call,Customer WIP Inquiry,POS Preauthorization Reversal
2,12202016,Account Hold Remove,Customer Maintenance - Process Beneficiary Services,PAYOFF PAYDOWN
2,12212016,CIVSALES_PARTNER_REFERRAL_CREATED,IRA Contribution,REPORTS_CTI_REGISTER
2,12212016,Account Hold Add,Customer Interaction fields entered on profile,Payment
2,12272016,CIVSALES_SAVE_AS_YOU_GO_MAINTENANCE,IRA Unscheduled Distribution,Reverse Fee Decision
2,12292016,CIVSALES_PMA_ACCOUNT_CONVERSION,IRA Direct Roll Over,RESEARCH
2,12292016,Consumer Deposit Only flow selected,New Deposit Account Open funded via DDA to DDA Transfer,Service Open - Safe Deposit
2,12292016,Wire Transfer Create,Wire Transfer Create,Wire Transfer Create
2,12292016,CIVSALES_CIP_VALIDATION,Funds Transfer Maintained,REPORT_PASSWORD_OPTIONS
3,07012016,Cash EE Bond,Error,REPORT_AUTO_DELINK
3,07032016,Business Credit Only flow selection,Documents hyperlink accessed,REPORT FREQUENCY STATISTICS
3,07032016,Cash Check on Credit Card/LOC,Enroll Online Wires,REPORT_AUTHENTICATION_TRACKER_DATA
3,07032016,Account Hold Remove,Customer Maintenance - Process Beneficiary Services,PAYOFF PAYDOWN
3,07072016,Business - Deposit - RETA flow  selected,Dividend,REPLACE CREDIT CARD (Lost Stolen or Damaged)
3,07072016,CIVSALES_CUST_PROFILE_EDITS,HOME EQUITY OFFER STATS,REPORT_SESSION_START
3,07072016,CIVSALES_TAB_CLICKER,LIGHT_INTERFACE_WITH_CIVSERVICE,Reverse Fee Request
3,07072016,CIVSALES_CIP_UPDATE,Funds Transfer Detail Inquiry,REPORT_OUT_OF_WALLET_DATA
3,07102016,CREDIT_CARD_FEE_REIMBURSEMENT,Outbound Leads Inquiry,TOKEN VERIFICATION
3,07122016,Balance Inquiry,Deposit,Referral to Business Insurance partner
3,07142016,UpdateMSR,Wire Transfer Inquiry,Transfer Reversal
3,07162016,Bank-initiated transfer,DIR_DEP_ADVANCE,Referral to Wealth Brokerage and Retirement partner
3,07172016,CIVSALES_TAB_CLICKER,LIGHT_INTERFACE_WITH_CIVSERVICE,Reverse Fee Request
3,07182016,CIVSALES_CUSTOMER_SESSION,Incompleted Transaction - Cust Init,REPORT_STOP_PAYMENT
3,07182016,Credit Adjustment,ODP Maintenance,STATE_RESTRICTION
3,07222016,Bill Payment Reject,Direct Deposit Advance,REIMBURSEMENTS
3,07242016,Cash Non-WFB Check,Express 10 statement,REPORT_BCA_APPS_LOG
3,07242016,Bill Payment Miscellaneous,Direct Deposit,Referral to Wells Fargo at Work partner
3,07252016,Authorized Debit,DEP_PRODUCTS_AND_RATES,Referral to Business Banking Group (BBG) partner
3,07252016,Bank-initiated debit,Deposit Reversal,Referral to Student Loan partner
3,07252016,Consumer Deposit and Credit flow selected,New Customer Profile,Service Open - Home Equity Access Card
3,07252016,Credit Application,ONLINE CHANNEL MAINTENANCE,STATUS SUMMARY DETAIL
3,07282016,Consumer  New ATM/Check Card Only flow selected,My Retirement Plan Updated,Service Open - Business ATM Check Card
3,07292016,Account Inquiry,Customer Maintenance Employment,PERFORM MAINTENANCE
3,07292016,CIV_SPECIAL_RATES,Funds Transfer Create,REPORT_IBK_STATS
3,07302016,Balance Inquiry,Deposit,Referral to Business Insurance partner
3,08012016,Cash WFB Check,Express Balance Statement,REPORT_CALL_PRICING
3,08032016,CIVSALES_CIP_UPDATE,Funds Transfer Detail Inquiry,REPORT_OUT_OF_WALLET_DATA
3,08032016,CIVSALES_PMA_ACCOUNT_CONVERSION,IRA Direct Roll Over,RESEARCH
3,08052016,CIVSALES_CARDS (PI),Funds Transfer Deleted,REPORT_MORE_HISTORY
3,08092016,Consumer Recommendations Create MSR,NEW_ACCT_FUNDING_INFO,Settlements
3,08122016,Cash WFB Check-OWNER,Express No Balance,REPORT_CARD_CLAIMS
3,08122016,CreateMSR,ODP DETAIL,Stamps Reversal
3,08122016,CIVSALES_SAVE_AS_YOU_GO_MAINTENANCE,IRA Unscheduled Distribution,Reverse Fee Decision
3,08142016,Wire Transfer Create,Wire Transfer Create,Wire Transfer Create
3,08142016,Common Customer Event History tool Customer Level,Misc Credit,Service Enroll Bill Pay
3,08142016,Authorized Debit,DEP_PRODUCTS_AND_RATES,Referral to Business Banking Group (BBG) partner
3,08142016,Credit Adjustment,ODP Maintenance,STATE_RESTRICTION
3,08162016,Wire Transfer Create,Wire Transfer Create,Wire Transfer Create
3,08172016,CIVSALES_CUSTOMER_SESSION,Incompleted Transaction - Cust Init,REPORT_STOP_PAYMENT
3,08212016,CIVSALES_ONLINE_BANKING_BILL_PAY,Internal debit reversal,REPORT_WAY2SAVE
3,08212016,Credit Application,ONLINE CHANNEL MAINTENANCE,STATUS SUMMARY DETAIL
3,08212016,CHECK ORDER,FTO CONVERTER REQUEST,REPORT_ERROR_COMMENT
3,08292016,Cash WFB Check,Express Balance Statement,REPORT_CALL_PRICING
3,08302016,Consumer Deposit and Credit flow selected,New Customer Profile,Service Open - Home Equity Access Card
3,08312016,Correction,NEW_ACCT_OWNERS,SOTA
3,09012016,CIVSALES_CUST_PROFILE_EDITS,HOME EQUITY OFFER STATS,REPORT_SESSION_START
3,09052016,Cancel Contact Event,EFS PAYOFF,REPORT_ACCOUNT_LOOKUP
3,09052016,Cash Non-WFB Check,Express 10 statement,REPORT_BCA_APPS_LOG
3,09092016,Complete Contact Event,Miscellaneous,Service Enroll Remittance Agreement
3,09102016,Advance,Customer Time Out,POS Merchandise Reversal
3,09102016,Account Maintenance,Customer Maintenance Identification,PHOTOCOPIES
3,09162016,Account Hold Add,Customer Interaction fields entered on profile,Payment
3,09162016,Account Inquiry,Customer Maintenance Employment,PERFORM MAINTENANCE
3,09172016,Correction,NEW_ACCT_OWNERS,SOTA
3,09172016,Check Card Purchase Transaction,Fee Reversal/Refund/Reimb/Adjustmt,REPORT_ERROR
3,09182016,Business Credit Only flow selection,Documents hyperlink accessed,REPORT FREQUENCY STATISTICS
3,09212016,Business Deposit – IOLTA flow selection,Download,REPORT LOGIN STATISTICS
3,09232016,CIVSALES_PARTNER_REFERRAL_CREATED,IRA Contribution,REPORTS_CTI_REGISTER
3,09232016,Bank-initiated debit,Deposit Reversal,Referral to Student Loan partner
3,09232016,CIVSALES_PMA_ADD/REMOVE_OWNERS,IRA REPORTING,Returned Deposited Item
3,09232016,AUTHENTICATION_TRACKER_ON_OFF,Debit Adjustment,RECORDED AND PLANNED EVENTS STATS
3,09272016,Authorized Debit,DEP_PRODUCTS_AND_RATES,Referral to Business Banking Group (BBG) partner
3,09272016,ATM/CHECK CARD MAINTENANCE,Customized Sumry NOT via Online,Purchase Wire
3,09302016,Close,LOST/STOLEN/FRAUD,SALES_SUPERVISOR_APPROVAL_OUTCOME
3,09302016,ATM/CHECK CARD MAINTENANCE,Customized Sumry NOT via Online,Purchase Wire
3,10012016,Customer Address Change,Overdraft Protection Transfer Reversal,Transfer of Debit
3,10012016,CIVSALES_CIP_UPDATE,Funds Transfer Detail Inquiry,REPORT_OUT_OF_WALLET_DATA
3,10032016,CIVSALES_RISK_SCREENING,IRA Transfer,Returned Item Adjustment
3,10052016,Account Closed,Customer Combine,OVERDRAFT_SERVICE_CHARGES
3,10052016,ATM Time Out,Customized Sumry in Spanish,Purchase Stamps
3,10062016,Cash EE Bond,Error,REPORT_AUTO_DELINK
3,10082016,Consumer Recommendations Create MSR,NEW_ACCT_FUNDING_INFO,Settlements
3,10092016,Consumer Establish/Maintain Remittance Agreement,New Deposit Account Open funded via Debit/Credit Card,Service Setup Direct Deposit
3,10102016,CIVSALES_TAB_CLICKER,LIGHT_INTERFACE_WITH_CIVSERVICE,Reverse Fee Request
3,10162016,CORRESPONDENCE,NEW_EXPRESS_SEND_AGREEMENT,Specific document image accessed
3,10162016,Business  Deposit Only – Special Relationship flow,EFORM ACCESS,REPORT_ACCOUNT_CLOSE
3,10172016,CIVSALES_SAVE_AS_YOU_GO_MAINTENANCE,IRA Unscheduled Distribution,Reverse Fee Decision
3,10172016,Balance Transfer Initiated,Deposit (Food Stamps),Referral to Business Payroll partner
3,10182016,College Information Maintenance,Memo,SELL_CREDIT
3,10242016,CLIENT_SYSTEM_INFO,Lost Stolen Checks/Cards,Safe Deposit Rental
3,10242016,ATM Failure,CUSTOMER_EVENT_HISTORY,Purchase Cash Instrument
3,10252016,Cash WFB Check-OWNER,Express No Balance,REPORT_CARD_CLAIMS
3,10262016,Account Open - IRA Account,Customer Maintenance Other,PMA Relationship Maintenance
3,10282016,Bank-initiated debit,Deposit Reversal,Referral to Student Loan partner
3,10282016,CIVSALES_TAB_CLICKER,LIGHT_INTERFACE_WITH_CIVSERVICE,Reverse Fee Request
3,10282016,Customer Address Change,Overdraft Protection Transfer Reversal,Transfer of Debit
3,10282016,Check Card Purchase Preauthorization,Fee Decision Tool is accessed from the Checking/Saving Account,REPORT_ECPR_STATS
3,10302016,CIVSALES_PARTNER_REFERRAL_CREATED,IRA Contribution,REPORTS_CTI_REGISTER
3,11042016,ACH Prenote,Customer Name Change,PMA_MAINTENANCE
3,11042016,Cash Non-WFB Check,Express 10 statement,REPORT_BCA_APPS_LOG
3,11072016,Cash Check on Credit Card/LOC,Enroll Online Wires,REPORT_AUTHENTICATION_TRACKER_DATA
3,11112016,CHECK ORDER,FTO CONVERTER REQUEST,REPORT_ERROR_COMMENT
3,11142016,CIVSALES_PARTNER_REFERRAL_CREATED,IRA Contribution,REPORTS_CTI_REGISTER
3,11152016,Consumer Establish/Maintain Remittance Agreement,New Deposit Account Open funded via Debit/Credit Card,Service Setup Direct Deposit
3,11172016,CIVSALES_NEW_PMA,Interest Adjustment,REPORT_TELEPHONE_TRANSFER
